HEATID,TAP_first,STARTTIME_first,DURATION_SEC,MW_mean,TEMP_mean,TEMP_p95,VALO2_mean,VALO2_p95,O2_AMOUNT_sum,GAS_AMOUNT_sum,O2_FLOW_mean,GAS_FLOW_mean
5F0070,13,2015-01-03 19:42:00,129600.0,5.333333333333333,1668.5,1670.75,972.0,986.4,514100.0,173361.0,3236.744604316547,1247.5395683453237
5F0071,11,2015-01-03 20:14:00,114000.0,5.5625,1615.5,1650.15,713.5,885.85,395494.0,125068.0,2367.5125,1152.4791666666667
5F0072,11,2015-01-03 21:00:00,72000.0,6.484375,1620.0,1624.0,713.3333333333334,730.0,491390.0,151803.0,2736.414035087719,1002.2526315789473
5F0073,11,2015-01-03 21:52:00,127200.0,6.015625,1632.3333333333333,1638.0,713.6666666666666,739.0,400929.0,116795.0,2310.1700404858298,976.0971659919028
5F0074,11,2015-01-03 22:37:00,123000.0,5.347222222222222,1621.5,1639.05,863.5,922.45,496247.0,133169.0,2043.6363636363637,877.2109090909091
5F0075,11,2015-01-03 23:47:00,133800.0,3.466666666666667,1617.75,1649.05,775.75,920.9499999999999,496422.0,134155.0,2023.5567765567766,874.7252747252747
5F0076,11,2015-01-04 00:37:00,126600.0,6.203125,1631.3333333333333,1639.3,718.3333333333334,735.1,438447.0,118715.0,2742.9486166007905,972.794466403162
5F0077,11,2015-01-04 01:24:00,121200.0,5.25,1643.5,1645.75,785.0,798.5,487791.0,145814.0,3334.3582089552237,1047.9925373134329
5F0081,15,2015-01-04 04:47:00,112200.0,4.736111111111111,1639.1333333333334,1693.0,511.3333333333333,1411.0,444837.0,122775.0,3970.5,950.7420634920635
5F0083,11,2015-01-04 06:16:00,113400.0,4.625,1655.6666666666667,1659.9,1086.0,1185.8,464640.0,112907.0,3831.5859375,883.27734375
5F0084,11,2015-01-04 07:03:00,114000.0,4.861111111111111,1627.75,1654.7,810.75,1112.35,473949.0,116478.0,4372.838461538461,876.2730769230769
5F0085,15,2015-01-04 08:17:00,122400.0,3.5865384615384617,1626.142857142857,1652.3,722.2857142857143,1072.2999999999997,482652.0,152827.0,3951.0898876404494,1197.9026217228463
5F0086,11,2015-01-04 08:49:00,109200.0,5.21875,1699.1666666666667,1706.0,1324.8333333333333,1368.75,352585.0,114516.0,3949.2227074235807,1231.6506550218342
5F0087,14,2015-01-04 09:58:00,119400.0,3.2857142857142856,1642.8,1683.8,859.4,1260.3999999999999,503492.0,166373.0,3875.3678571428572,1259.2178571428572
5F0089,15,2015-01-04 12:44:00,125400.0,6.0,1637.5,1666.35,818.25,920.25,430847.0,145414.0,3893.5731225296445,1305.588932806324
5F0090,15,2015-01-04 14:07:00,126000.0,5.444444444444445,1650.5,1653.65,888.5,915.05,784233.0,233438.0,3528.1327433628317,1191.1799410029498
5F0091,15,2015-01-04 15:00:00,127200.0,5.5,1639.0,1649.4,903.0,1052.5,467650.0,157384.0,3650.6466165413535,1315.390977443609
